2022-03-02 14:20:25,624 root  WARNING   [!] Starting emulation.
2022-03-02 14:21:44,040 root  DEBUG     [*] 55/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/ff87adc14e0af5b56819d2a6edef0d3fa6671bb2cd1034f011d88bee525fb103 ...
2022-03-02 14:21:44,752 root  DEBUG     [+] Finished emulation, took: 0.64s, API calls acquired: 501

2022-03-02 14:21:44,753 root  DEBUG     [*] 56/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/94df40734363cd06cd9d6bf6e8c2cbad04fd88e87a3e19330d7f9f7c364d7b68 ...
2022-03-02 14:21:45,586 root  DEBUG     [+] Finished emulation, took: 0.69s, API calls acquired: 490

2022-03-02 14:21:45,586 root  DEBUG     [*] 57/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/c57bbfa071fc638fad86f37bb1004ab17c29c1fb56444403883839fa2afdd6a9 ...
2022-03-02 14:21:48,050 root  DEBUG     [+] Finished emulation, took: 2.38s, API calls acquired: 147

2022-03-02 14:21:48,050 root  DEBUG     [*] 58/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/5b015d55e0ca5fd341eda5c77e2467e7368d8c98298b0c17d6e1a37bc24a8682 ...
2022-03-02 14:21:48,818 root  DEBUG     [+] Finished emulation, took: 0.66s, API calls acquired: 499

2022-03-02 14:21:48,818 root  DEBUG     [*] 59/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/dbfce3022bb90d8aeaa645cfa03944130fcc734c0f6e31df6a707e40ac32b465 ...
2022-03-02 14:21:50,403 root  DEBUG     [+] Finished emulation, took: 0.55s, API calls acquired: 501

2022-03-02 14:21:50,404 root  DEBUG     [*] 60/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/d300a5bc9b99f3a018bb6af11c23ae408be24269ebff778db81e11e437d76dc3 ...
2022-03-02 14:21:51,157 root  DEBUG     [+] Finished emulation, took: 0.62s, API calls acquired: 490

2022-03-02 14:21:51,157 root  DEBUG     [*] 61/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/0183e9ae097a314a96ae37f6c9ebd7b75584ed2ff3f1a96ad5aa0565f1d53d90 ...
2022-03-02 14:21:51,928 root  DEBUG     [+] Finished emulation, took: 0.61s, API calls acquired: 337

2022-03-02 14:21:51,929 root  DEBUG     [*] 62/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/b097044ccda5d158f3d9c169ad2af8cac17f67e7944db0e53834fbcafc3ec178 ...
2022-03-02 14:21:52,679 root  DEBUG     [+] Finished emulation, took: 0.64s, API calls acquired: 499

2022-03-02 14:21:52,679 root  DEBUG     [*] 63/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/2dace29a465cc7310208cd7c2d02a8beffffe66642008bbd3e5f7bd77ec7e0d5 ...
2022-03-02 14:21:53,324 root  DEBUG     [+] Finished emulation, took: 0.58s, API calls acquired: 501

2022-03-02 14:21:53,325 root  DEBUG     [*] 64/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/66383bb3916282bb187a2517e609e87b226f02c1740d03b0ce28bce0d4616544 ...
2022-03-02 14:21:54,012 root  DEBUG     [+] Finished emulation, took: 0.59s, API calls acquired: 501

2022-03-02 14:21:54,012 root  DEBUG     [*] 65/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/a7232008ff3fc2986b86954e4468b5b11bb20b0f7dfbea82485dcc937a10d07f ...
2022-03-02 14:21:54,903 root  DEBUG     [+] Finished emulation, took: 0.54s, API calls acquired: 501

