2022-03-02 14:20:45,315 root  DEBUG     [*] 25/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/2c739b4988ff602b9fff66955320c935d55f4255c5c8ce5efcb50ea1d5baa3f7 ...
2022-03-02 14:20:45,685 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:45,685 root  DEBUG     [+] Finished emulation, took: 0.32s, API calls acquired: 1

2022-03-02 14:20:45,685 root  DEBUG     [*] 26/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/6171b150e4aa23fb122603aae9bf217b918651ce4c24314b06f111f3575dd693 ...
2022-03-02 14:20:46,039 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:46,039 root  DEBUG     [+] Finished emulation, took: 0.31s, API calls acquired: 1

2022-03-02 14:20:46,039 root  DEBUG     [*] 27/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/c1af6bec913184ed87c7bd42e440a0578fe7acc7063fc31c739612fca63cc68d ...
2022-03-02 14:20:46,313 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:46,313 root  DEBUG     [+] Finished emulation, took: 0.23s, API calls acquired: 1

2022-03-02 14:20:46,313 root  DEBUG     [*] 28/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/1b0e25d8e0ab7195b657ba1eb26185d4fbb99c5b9845d3951ef9290a4e1abf44 ...
2022-03-02 14:20:46,591 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:46,591 root  DEBUG     [+] Finished emulation, took: 0.23s, API calls acquired: 1

2022-03-02 14:20:46,591 root  DEBUG     [*] 29/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/24ac30f8343cfa83e7cf06ad3c139c0034852f2380e6224e57665f1bcec06170 ...
2022-03-02 14:20:46,874 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:46,875 root  DEBUG     [+] Finished emulation, took: 0.24s, API calls acquired: 1

2022-03-02 14:20:46,875 root  DEBUG     [*] 30/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/5f0909d909d7a870eb591e72398b4c9032e29cb986c48f3cbeaa920a72fea23d ...
2022-03-02 14:20:47,167 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:47,167 root  DEBUG     [+] Finished emulation, took: 0.25s, API calls acquired: 1

2022-03-02 14:20:47,167 root  DEBUG     [*] 31/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/1d86e5fd3e4d9701e9728fe93532c7ae760dc3723d030af00dd5ebf9a695cb48 ...
2022-03-02 14:20:47,521 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:47,522 root  DEBUG     [+] Finished emulation, took: 0.30s, API calls acquired: 1

2022-03-02 14:20:47,522 root  DEBUG     [*] 32/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/df99b9970912b89b247d8363d25e6081042c90a4eacd2e5e44997f62e16a0c1e ...
2022-03-02 14:20:47,860 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
